id_lattes,name,major_area,area,descendants,fecundity,fertility,cousins,generations,relationships,genealogical_index
3620209642728740,a k soares,engenharias,engenharia civil,8,8,0,587,1,8,0
3856682353780970,f l d s santos,ciencias sociais aplicadas,arquitetura e urbanismo,13,13,0,430,1,13,0
6385098389900462,a p d aguiar,ciencias exatas e da terra,química,34,31,1,31,2,34,1
4422797300106230,j g s d silva,engenharias,engenharia civil,60,60,0,0,1,60,0
2577657690021566,l r b goncalves,engenharias,engenharia química,63,43,4,785,2,66,3
6736575837409659,l c maia,ciencias biologicas,botânica,219,63,19,84,3,231,7
1200247772482237,m a m sallum,ciencias biologicas,parasitologia,47,25,4,0,2,47,3
410138491087637,j d s bernardes,ciencias humanas,psicologia,18,18,0,109,1,18,0
455487141833418,c a heuser,ciencias exatas e da terra,ciência da computação,282,63,9,0,4,283,8
4371106262063395,a l d sousa,ciencias humanas,ciência política,7,7,0,73,1,7,0
6532955603934459,r p c leal,ciencias sociais aplicadas,administração,226,89,6,76,3,227,5
5800126869436525,a m iguti,ciencias da saude,saúde coletiva,78,19,3,0,3,78,2
3969594492100690,j p schmidt,ciencias humanas,ciência política,53,25,2,277,3,53,2
7281746801238526,j c d silva,ciencias exatas e da terra,ciência da computação,10,10,0,995,1,10,0
2298424134477441,r knorek,ciencias sociais aplicadas,administração,24,24,0,623,1,24,0
6478475854489070,h c d menezes,ciencias agrarias,ciência e tecnologia de alimentos,136,33,6,0,3,136,5
3876347898308761,c c d s almeida,ciencias biologicas,genética,16,15,1,100,2,16,1
7634063102292261,c r junior,ciencias biologicas,bioquímica,33,17,4,34,2,33,3
3862323454964593,d m zouain,ciencias sociais aplicadas,administração,206,138,10,58,2,206,6
8153251759013453,j d souza,ciencias da saude,farmácia,10,10,0,206,1,10,0
5502499971921144,j l simone,ciencias da saude,odontologia,51,38,1,105,2,51,1
10108416,c l e e j r goldim,,,1,1,0,0,1,1,0
7917363740516584,f j c d reis,ciencias da saude,medicina,38,18,3,396,2,38,2
400232298849115,m a casanova,ciencias exatas e da terra,ciência da computação,388,82,12,362,6,389,5
7324869293866597,j v e bernardi,ciencias biologicas,ecologia,9,9,0,169,1,9,0
9127588429942310,r b d nascimento,ciencias sociais aplicadas,ciência da informação,35,18,3,238,2,35,2
1522293867934005,j c r vellosa,ciencias da saude,farmácia,16,16,0,288,1,16,0
2686596980826238,c r j cury,ciencias sociais aplicadas,direito,2059,70,23,1787,5,2093,14
3535420886883559,k b b candiotto,ciencias humanas,filosofia,12,12,0,367,1,12,0
10259712,j a d silva,,,1,1,0,0,1,1,0
6585937888894798,j m d santos,ciencias agrarias,agronomia,42,26,3,389,2,45,3
2178652705357657,r m f cuba,engenharias,engenharia sanitária,3,3,0,551,1,3,0
10505859,r melo,,,1,1,0,0,1,1,0
4926823018513006,d s d fonseca,linguistica letras e artes,artes,32,24,2,3,2,32,2
1161483059612467,m d c meneghim,ciencias da saude,odontologia,95,50,6,25,2,95,3
1626484708254412,d a d silva,ciencias exatas e da terra,química,12,12,0,559,1,12,0
727435909982933,j e lichston,ciencias biologicas,botânica,8,8,0,73,1,8,0
6148848874012153,r d s m carrion,ciencias humanas,sociologia,78,35,4,299,3,78,3
10530990,s faissol,,,3,3,0,0,1,3,0
6460862782566101,i c petraglia,ciencias humanas,educação,25,23,2,1157,2,25,1
6302923284671421,n m s freire,ciencias agrarias,medicina veterinária,706,77,20,0,5,725,12
6555638052349500,s p d cunha,ciencias da saude,medicina,253,18,10,0,5,259,5
2118088882579458,d cardoso,ciencias humanas,filosofia,9,9,0,0,1,9,0
4293997460142721,j c hellmeister,,,1053,33,18,0,5,1084,13
3590884268165249,v s t ciminelli,engenharias,engenharia de materiais e metalúrgica,194,49,10,9,3,197,6
5038152185134297,a c s marques,ciencias sociais aplicadas,comunicação,11,11,0,35,1,11,0
3242858535763793,e a rossi,ciencias agrarias,ciência e tecnologia de alimentos,36,15,3,86,2,37,3
1264230711024023,c t g vidalon,ciencias exatas e da terra,matemática,274,32,13,48,4,275,5
5906489123903359,m h a dias,ciencias sociais aplicadas,economia,37,28,3,0,2,37,2
5319908010656500,i n d prado,ciencias agrarias,zootecnia,114,51,5,0,3,116,3
6280001726178765,w a bizzo,engenharias,engenharia mecânica,53,31,2,92,2,53,1
5373594111880302,r l dittrich,ciencias agrarias,medicina veterinária,42,30,2,114,2,42,1
6644218384570051,m a j g d camargo,ciencias humanas,educação,14,14,0,2171,1,14,0
3913283461109185,r glat,ciencias humanas,educação,503,69,15,107,4,505,8
10444038,p d singh,,,33,3,3,0,3,33,2
5941867047206757,a m p d carvalho,ciencias humanas,sociologia,118,58,7,179,3,118,5
50203730237875,l l pereira,ciencias da saude,enfermagem,17,17,0,207,1,17,0
4244400828505785,k wohnrath,ciencias exatas e da terra,química,15,15,0,309,1,15,0
3518494483020665,b k jozef,linguistica letras e artes,letras,687,41,20,0,4,696,12
10137586,d chateau,,,65,4,2,0,4,65,2
10572032,w b gomez,,,1,1,0,0,1,1,0
10191320,f e loducca,,,1,1,0,0,1,1,0
6571492090892651,a g a c kelecom,ciencias biologicas,biofísica,77,27,4,0,3,77,3
10473647,r j cook,,,12,1,1,0,2,12,1
8067501236997504,a curi,engenharias,engenharia de minas,20,20,0,229,1,20,0
9691477236399656,c a d oliveira,,,9,2,1,0,2,9,1
3411662870994341,c b gomes,ciencias agrarias,agronomia,20,14,3,253,2,20,2
84129691000396,f d s santos,ciencias agrarias,agronomia,3,3,0,184,1,3,0
9265035442880550,c fernandez,ciencias humanas,educação,38,25,2,370,2,38,1
9290548756209369,e m nascimento,ciencias exatas e da terra,física,1,1,0,119,1,1,0
754153713899691,m l s schmidt,ciencias humanas,psicologia,90,38,6,0,3,90,3
6379814397024971,b a martins,linguistica letras e artes,letras,14,14,0,843,1,14,0
2063766494990571,e m b lemes,ciencias sociais aplicadas,administração,15,14,1,28,2,15,1
9015401653501831,n r d s basso,engenharias,engenharia de materiais e metalúrgica,38,36,1,428,2,38,1
8769804694444711,m a d c vieira,linguistica letras e artes,letras,56,33,4,191,2,56,3
10245040,j a danon,,,398,9,8,0,5,402,4
1919917745460678,m d r d f d carvalho,ciencias humanas,educação,69,29,3,94,3,71,2
6869074139485264,i c p fortes,ciencias exatas e da terra,química,7,6,1,12,2,7,1
6670656850851337,w j koff,ciencias da saude,medicina,45,36,3,0,2,45,1
8256254118036403,l heller,engenharias,engenharia sanitária,100,58,4,55,2,103,3
1846811798094932,i j both,ciencias humanas,educação,45,33,1,218,2,45,1
1860524286570589,b a knoppers,ciencias exatas e da terra,oceanografia,155,33,9,0,3,157,5
8829898424320537,c b neto,ciencias exatas e da terra,matemática,19,19,0,325,1,19,0
2758348799133801,g d p m iannini,ciencias humanas,psicologia,13,9,1,1699,2,13,1
8218445325520629,e r d lima,ciencias agrarias,medicina veterinária,7,7,0,0,1,7,0
10022398,a butske,,,1,1,0,0,1,1,0
2176215981291453,c r m afonso,engenharias,engenharia de materiais e metalúrgica,9,9,0,41,1,9,0
4671604100983425,a m laus,ciencias da saude,enfermagem,20,19,1,855,2,20,1
3153168342137081,m l p menezes,ciencias humanas,geografia,6,6,0,401,1,6,0
8518698825437370,f c d c marinho,ciencias sociais aplicadas,comunicação,11,10,1,775,2,11,1
4427136781589517,a c d ferreira,ciencias agrarias,zootecnia,6,6,0,137,1,6,0
4907904919744128,c gomes,ciencias sociais aplicadas,arquitetura e urbanismo,4,4,0,349,1,4,0
5913355342436995,m d s q bittencourt,engenharias,engenharia de materiais e metalúrgica,8,8,0,134,1,8,0
3254286158593353,l e aguilar,ciencias humanas,educação,52,31,3,376,2,53,2
3937502490683382,g z d silva,ciencias exatas e da terra,ciência da computação,37,25,4,326,2,39,2
6606590329311722,y l m bulgacov,ciencias humanas,psicologia,86,41,8,493,2,86,5
2114135234349130,i l machado,linguistica letras e artes,lingüística,567,55,22,0,4,586,14
10152139,e g peliza,,,4,4,0,0,1,4,0
4862963990848505,m j d souza,ciencias exatas e da terra,matemática,18,18,0,251,1,18,0
2593509584288129,a a d s junior,ciencias da saude,farmácia,23,22,1,487,2,23,1
10458586,p r martinez,,,16,16,0,0,1,16,0
10517954,s d t d souza,,,1,1,0,0,1,1,0
4197266977644156,c a d b pereira,ciencias exatas e da terra,probabilidade e estatística,175,49,11,11,3,176,7
6428943613906472,m c m andion,ciencias sociais aplicadas,administração,11,11,0,56,1,11,0
1235446771186252,c a mariotoni,engenharias,engenharia elétrica,251,20,3,0,5,251,3
5267886320701715,j j fagundes,ciencias da saude,medicina,11,5,2,0,3,11,2
450422270760261,e r d f dutra,ciencias humanas,história,151,35,12,573,3,151,9
10520112,s garfield,,,1,1,0,0,1,1,0
2365062530984470,p n rathie,ciencias exatas e da terra,probabilidade e estatística,254,18,5,0,4,257,4
6461328124491559,e r dockal,ciencias exatas e da terra,química,52,30,4,0,2,52,3
8091332098267545,c r p belchior,engenharias,engenharia mecânica,31,30,1,449,2,31,1
2449625191630738,j a v requena,engenharias,engenharia civil,23,19,1,0,2,23,1
384208157289616,e tunes,ciencias humanas,educação,575,60,11,45,5,576,8
6929976366242232,i d f d silva,ciencias agrarias,agronomia,69,47,5,62,2,69,3
8231728046260663,a e g d azevedo,ciencias exatas e da terra,geociências,23,13,3,0,3,23,2
844777329314106,c f fiorini,linguistica letras e artes,artes,33,20,2,22,2,33,2
7525387214456841,r e machado,engenharias,engenharia civil,2,2,0,571,1,2,0
4830182825385638,j w m lima,engenharias,engenharia elétrica,103,43,5,110,3,105,3
10231494,h j m q y b delgado,,,1,1,0,0,1,1,0
7279161524418942,i j taneja,ciencias exatas e da terra,matemática,27,17,1,0,2,27,1
9969335633653147,l d silver,ciencias da saude,saúde coletiva,73,14,3,0,3,73,3
3776345573864268,m b junior,ciencias biologicas,bioquímica,29,23,2,0,2,29,1
6119609735301896,j f tutikian,linguistica letras e artes,letras,110,40,8,511,2,110,4
5146388704821838,v d s c vila,ciencias da saude,enfermagem,20,19,1,86,2,20,1
7849509274630628,j w m d aragao,ciencias humanas,educação,34,25,3,175,2,34,1
7154277354966576,s c vieira,ciencias sociais aplicadas,direito,10,10,0,0,1,10,0
2850948628761143,l bisol,linguistica letras e artes,lingüística,347,58,20,30,4,361,11
6494676052801758,a s vivacqua,ciencias exatas e da terra,ciência da computação,18,18,0,361,1,18,0
7517769705157849,n l d rezende,linguistica letras e artes,letras,40,21,2,655,2,40,1
6507069772452004,j h m costa,ciencias sociais aplicadas,direito,119,33,10,29,2,119,6
8154959660506192,a b pavan,ciencias exatas e da terra,física,3,3,0,165,1,3,0
5576711447768585,j l m rodriguez,engenharias,engenharia mecânica,61,53,3,0,2,61,2
5149402586875448,r e gertz,ciencias humanas,história,668,103,32,19,4,675,11
6139474180909157,e m l s d alencar,ciencias humanas,psicologia,339,54,8,0,4,339,7
10204542,g k akabane,,,2,2,0,0,1,2,0
4867352261871888,g masiero,ciencias sociais aplicadas,administração,24,8,1,341,3,24,1
1899419068096109,c e p ruzyk,ciencias sociais aplicadas,direito,9,9,0,1073,1,9,0
5893145382848301,c e d rezende,ciencias biologicas,ecologia,81,37,8,365,3,81,4
490476694313938,g s marinho,engenharias,engenharia mecânica,86,22,3,0,3,86,3
8034829914313982,a l n d santos,ciencias sociais aplicadas,administração,1,1,0,410,1,1,0
6127172734397904,r p alonso,ciencias sociais aplicadas,direito,19,19,0,817,1,19,0
9301899329648159,r b braga,ciencias humanas,geografia,38,20,3,937,2,38,3
9223776544881741,n bazzoli,ciencias biologicas,zoologia,107,50,7,32,3,107,4
7298637758046404,p n figueiredo,ciencias sociais aplicadas,administração,185,48,5,48,3,185,4
989065569520206,l c d rosa,engenharias,engenharia de produção,39,32,1,339,2,39,1
8766155499372376,j f d s neto,ciencias biologicas,genética,5,5,0,179,1,5,0
9541564332474250,r c mancini,linguistica letras e artes,lingüística,10,10,0,17,1,10,0
10437860,o ragueneau,,,1,1,0,0,1,1,0
10410976,m a aegerter,,,260,13,10,0,4,263,6
545349441509542,o marson,ciencias da saude,medicina,130,3,2,279,3,130,2
2360938037687501,d m h mukana,linguistica letras e artes,lingüística,180,177,1,0,2,180,1
7892919789980668,m a z coelho,engenharias,engenharia química,59,39,6,273,2,64,3
7441669258580942,c a junior,engenharias,engenharia de materiais e metalúrgica,117,67,9,69,2,124,4
3027347445652264,m h p d silva,engenharias,engenharia de materiais e metalúrgica,18,17,2,34,3,19,1
2698674515440922,m f pareja,ciencias biologicas,ecologia,11,11,0,379,1,11,0
10245902,j choi,,,1,1,0,0,1,1,0
10191720,f j m costa,,,1,1,0,0,1,1,0
5345913436818147,m r a augras,ciencias humanas,psicologia,1727,108,23,0,7,1735,13
9304493875700070,e a d silva,engenharias,engenharia química,44,41,1,358,2,44,1
5160665761520226,i g r martins,ciencias humanas,educação,81,28,8,0,2,81,5
10176453,f o guimaraes,,,1,1,0,0,1,1,0
5038187828154288,f b russomano,ciencias da saude,medicina,19,17,1,8,2,19,1
3673445041898307,j p a haddad,ciencias agrarias,medicina veterinária,16,16,0,15,1,16,0
7653605390097019,j b k fernandes,ciencias agrarias,recursos pesqueiros e engenharia de pesca,32,23,1,293,2,32,1
3518711099044121,s b alves,ciencias agrarias,agronomia,354,28,12,221,4,366,9
10447234,p a bastide,,,2966,1,1,0,6,2988,1
4296923676797148,l h borges,,,26,26,0,53,1,26,0
3836408948113222,j nicolau,ciencias biologicas,bioquímica,131,25,6,0,4,131,5
10198634,g d wiedner,,,1,1,0,0,1,1,0
2345417325569947,j j f d silva,ciencias sociais aplicadas,comunicação,25,25,0,247,1,25,0
1455327138239823,l a f coelho,engenharias,engenharia de materiais e metalúrgica,22,21,1,256,2,22,1
8088054131862130,m b d p pinto,ciencias sociais aplicadas,economia,230,44,3,0,3,231,3
974234816299860,r f d silva,ciencias agrarias,agronomia,9,9,0,163,1,9,0
5338933760422537,l f santoro,ciencias sociais aplicadas,comunicação,125,76,5,207,2,125,5
9457006137865021,u v moro,ciencias humanas,teologia,323,54,4,0,5,326,4
4028759481820525,f g d fonseca,ciencias biologicas,microbiologia,32,21,1,209,3,33,1
8671745801940831,c m oishi,ciencias exatas e da terra,matemática,8,8,0,151,1,8,0
6369674496221915,j m maia,engenharias,engenharia biomédica,21,20,1,159,2,21,1
8807841778457730,f a d nascimento,ciencias humanas,história,57,34,3,1026,3,58,2
4531945545682379,l e wirth,ciencias humanas,teologia,132,54,4,0,3,132,4
1941558853616138,j e belizario,ciencias biologicas,bioquímica,33,23,3,217,2,34,2
4160576821315757,j m c d mello,,,586,20,9,6,5,595,7
4616280611522358,m h r beltran,ciencias humanas,história,100,58,5,214,3,100,3
10055486,a l furtado,,,1,1,0,0,1,1,0
3447158889058518,a b d melo,engenharias,engenharia civil,24,20,1,361,2,24,1
5389821486907152,s g m ramos,linguistica letras e artes,letras,2,2,0,725,1,2,0
3873047991235324,m l rodrigues,linguistica letras e artes,lingüística,47,38,3,115,2,47,2
7289025779027878,m e maliska,ciencias humanas,psicologia,13,13,0,915,1,13,0
2056678007333419,a l a aragao,ciencias humanas,educação,16,15,1,0,2,16,1
9120469382516817,g b espindola,,,23,10,3,233,2,23,2
4477328585024072,o c longo,engenharias,engenharia civil,122,111,4,763,2,123,1
7077398001188294,j m r filho,,,89,71,2,25,2,90,2
2526848672055709,v m c fernandes,engenharias,engenharia civil,13,13,0,311,1,13,0
6216836648516167,r b garcia,ciencias da saude,odontologia,87,26,8,42,3,87,4
3683841585212260,j r o perez,ciencias agrarias,zootecnia,136,34,9,0,3,137,4
5931158526991718,u zilles,ciencias humanas,filosofia,1508,86,21,0,6,1527,9
2120597822999751,g c d amaral,linguistica letras e artes,letras,88,30,6,85,2,88,4
3155933203201052,j m wiest,ciencias agrarias,medicina veterinária,93,46,6,0,2,95,4
1153101691308425,e j g d carvalho,ciencias humanas,educação,8,8,0,2205,1,8,0
10515090,s h m masuleh,,,1,1,0,0,1,1,0
7042087959416545,o m d c vargens,ciencias da saude,enfermagem,40,38,1,203,2,40,1
4233174258491171,m o d s ramos,ciencias sociais aplicadas,economia,8,8,0,0,1,8,0
2978061229980647,h t katz,ciencias sociais aplicadas,comunicação,279,97,17,941,3,290,9
3329329091837689,m e d silva,ciencias sociais aplicadas,administração,14,12,1,421,2,14,1
5396850632263675,p d t c freire,,,153,45,17,139,3,157,6
7221553133870083,e tamanini,ciencias humanas,educação,24,24,0,287,1,24,0
9878253301775115,e r silva,linguistica letras e artes,artes,30,13,2,16,2,30,2
5912363889457800,m c m t filho,ciencias agrarias,agronomia,9,9,0,122,1,9,0
8520043515434606,e s sposito,ciencias humanas,geografia,315,63,20,310,5,317,7
6369644299108751,m j marques,ciencias biologicas,morfologia,44,20,3,197,2,45,2
2261555898412006,a c figueiredo,ciencias humanas,ciência política,433,35,14,0,4,434,9
5358060892746249,r l d s junior,ciencias humanas,ciência política,14,14,0,314,1,14,0
10326240,l d meester,,,2,1,1,0,2,2,1
4475620918895659,b w b frederick,ciencias sociais aplicadas,administração,1,1,0,38,1,1,0
1499159948298370,r n kronka,ciencias agrarias,zootecnia,293,19,12,0,4,300,8
9563490368583906,n s fernandes,ciencias exatas e da terra,química,11,9,1,110,2,11,1
9472525082323183,p l m albernaz,ciencias da saude,medicina,707,30,12,55,6,718,8
4928861472249930,j f ferreira,ciencias agrarias,recursos pesqueiros e engenharia de pesca,29,29,0,0,1,29,0
10128850,d vickers,,,1,1,0,0,1,1,0
6757863866100108,a m perfeito,linguistica letras e artes,letras,77,23,7,258,2,77,4
6219431092430235,e p bayona,ciencias exatas e da terra,física,15,15,0,0,1,15,0
3541902868372066,c r p campos,outros,divulgação científica,21,21,0,628,1,21,0
7952821347546104,f p goncalves,ciencias humanas,educação,7,7,0,101,1,7,0
7254479300721225,n l pippi,ciencias agrarias,medicina veterinária,569,61,16,26,6,583,10
4380519045659230,r d s o d costa,ciencias da saude,educação física,23,20,1,592,2,23,1
2401656673887128,g d o kloeckner,ciencias sociais aplicadas,administração,129,69,7,0,2,130,5
5308309531051845,a b d farias,ciencias humanas,filosofia,10,10,0,109,1,10,0
10258044,j s gross,,,1,1,0,0,1,1,0
3058651724985579,e k honda,ciencias da saude,medicina,6,6,0,4,1,6,0
9095501173645841,p k rocha,ciencias da saude,enfermagem,10,10,0,153,1,10,0
1062059652170019,g s n d silva,ciencias da saude,saúde coletiva,17,17,0,97,1,17,0
4421435908492751,a l c d miranda,ciencias sociais aplicadas,ciência da informação,144,28,7,0,3,145,5
4016427560803565,e p junior,ciencias da saude,farmácia,48,30,3,294,2,48,2
9604779812877836,j m bastos,ciencias humanas,geografia,32,32,0,0,1,32,0
1863146361804487,e s d assis,ciencias sociais aplicadas,arquitetura e urbanismo,20,17,2,252,2,20,1
451631464832830,e kunz,ciencias da saude,educação física,106,60,6,0,2,106,4
3316631966157898,b antunes,linguistica letras e artes,letras,36,24,5,180,2,36,2
654272159213814,l d s portugal,engenharias,engenharia de transportes,200,59,5,69,3,200,4
3996084452979335,e s santos,ciencias exatas e da terra,oceanografia,6,6,0,54,1,6,0
502314179930901,a c dominguez,ciencias biologicas,bioquímica,7,7,0,0,1,7,0
6303382961871353,d c hipolide,ciencias biologicas,farmacologia,12,12,0,223,1,12,0
2019448857205643,a c hernandes,ciencias exatas e da terra,física,186,45,14,329,4,190,8
1712482146493680,j c a fernandez,ciencias da saude,saúde coletiva,5,5,0,180,1,5,0
7722873668622044,m v d a fonseca,engenharias,engenharia de produção,81,44,5,46,3,81,3
7409756675845441,m d t benassi,ciencias agrarias,ciência e tecnologia de alimentos,132,29,4,388,3,132,2
6721776523175881,n p ribeiro,ciencias sociais aplicadas,arquitetura e urbanismo,21,21,0,351,1,21,0
4191944614921551,j m filho,ciencias da saude,medicina,14,10,1,0,2,14,1
1992149232015471,j l p roehl,engenharias,engenharia civil,1012,43,6,0,6,1029,5
6024055344777721,e g pinto,linguistica letras e artes,letras,163,67,10,90,3,163,5
8661248119285296,t d rocha,ciencias exatas e da terra,ciência da computação,5,5,0,95,1,5,0
9404811031167076,e h b d castro,ciencias humanas,psicologia,20,20,0,543,1,20,0
3781116210567482,r e borges,ciencias humanas,geografia,6,6,0,1313,1,6,0
5838290185532582,e s miyagi,ciencias agrarias,zootecnia,16,16,0,1091,1,16,0
1081378643209602,j m marques,ciencias da saude,fonoaudiologia,55,43,2,161,2,55,2
852801812714537,w c r fett,ciencias da saude,educação física,12,12,0,33,1,12,0
5662623397801990,s s d s batista,ciencias humanas,educação,6,6,0,131,1,6,0
8895005186201315,f c braga,ciencias da saude,farmácia,63,26,4,634,2,63,2
3048287060208404,a f sbrissia,ciencias agrarias,zootecnia,19,19,0,157,1,19,0
1519118970291103,l granato,ciencias da saude,medicina,76,15,4,414,3,79,4
5661286013847300,s d d cunha,ciencias exatas e da terra,química,35,27,2,0,2,35,1
5670826978849599,f h b aguiar,ciencias da saude,odontologia,47,18,3,105,3,47,2
7840233438218177,c m n david,ciencias da saude,medicina,67,32,3,180,4,67,3
10203433,g kielwein,,,1,1,0,0,1,1,0
